Batch,Project,Sample Date,Area,Site,Plot,Rep,Horizon,Sample Name,SedWetWeight,Seddw.ww,SedDryWeight,H2O~SRP (ugP/gdw),H2O~TP (ugP/g dw),H2O~DNRP (ugP/gdw),H2O~Fe (mg Fe/g dw),H2O~Ca (mg Ca/g dw),BD~SRP (ugP/gdw),BD~TP (ugP/gdw),BD~NRP (ugP/gdw),BD~Fe (mg Fe/gdw),BD~Al (mg Al/gdw),BD~Ca (mg Ca/gdw),NaOH~SRP (ug/gdw),NaOH~TP (ugP/gdw),NaOH~DNRP (ugP/gdw),NaOH~Fe (mg Fe/gdw),NaOH~Al (mg Al/gdw),NaOH~Ca (mg Ca/gdw),HA~P (ug P/gdw),HA~Fe (mg Fe/gdw),HCl~P (ug P/gdw),HCl~Fe (mg Fe/gdw),HCl~Al (mg Al/gdw),HCl~Ca (mg Ca/gdw),Res~P (ug P/gdw),Res~Fe (mg Fe/gdw),Res~Al (mg Al/gdw),Res~Ca (mg Ca/gdw)
20220117_Pfrac,PhIr2021,19-Jul-21,East,Mesic,3,,Organic,19-Jul-21 East Mesic 3-O,2.730,0.218,0.596,13.135,19.869,6.734,0.021,0.075,39.610,99.120,59.510,1.480,0.031,3.949,70.339,503.100,432.761,0.249,0.839,0.421,44.888,0.030,10.918,1.376,0.318,1.554,759.903,4.325,5.172,4.195
20220131_Pfrac,PhIr2021,22-Jul-21,West,Dry,2,A,Organic,22-Jul-21 West Dry 2A-O,2.580,0.147,0.380,47.729,53.482,5.752,0.033,0.407,65.243,69.884,4.641,1.294,0.049,15.219,55.491,430.271,374.780,0.193,0.396,0.738,49.876,0.028,13.442,1.187,0.216,4.600,701.706,4.164,3.080,10.545
20220131_Pfrac,PhIr2021,22-Jul-21,West,Dry,3,,Organic,22-Jul-21 West Dry 3-O,4.590,0.267,1.226,0.723,2.039,1.317,0.056,0.089,18.154,39.626,21.472,16.247,0.162,7.636,52.650,254.172,201.522,2.636,1.330,2.321,449.266,4.291,21.237,8.949,0.869,1.972,1050.568,36.702,23.747,9.911
20220131_Pfrac,PhIr2021,22-Jul-21,West,Mesic,1,,Organic,22-Jul-21 West Mesic 1-O,3.950,0.157,0.620,31.310,37.347,6.037,0.020,0.289,37.333,32.872,-4.461,0.416,0.030,13.857,54.540,389.677,335.137,0.145,0.122,1.065,47.808,0.008,19.472,0.969,0.336,8.906,1337.760,6.938,6.488,11.479
20220131_Pfrac,PhIr2021,22-Jul-21,West,Mesic,2,,Organic,22-Jul-21 West Mesic 2-O,3.760,0.200,0.751,1.188,3.327,2.139,0.017,0.071,5.189,4.991,-0.198,2.786,0.063,7.535,30.947,404.172,373.225,1.235,2.676,2.729,407.341,0.602,9.518,1.384,0.289,2.275,1464.535,8.738,13.657,11.209
20220131_Pfrac,PhIr2021,22-Jul-21,West,Mesic,3,,Organic,22-Jul-21 West Mesic 3-O,3.980,0.175,0.697,3.780,8.553,4.773,0.018,0.130,24.878,27.453,2.574,1.735,0.027,9.153,66.186,668.709,602.523,2.157,1.608,4.235,525.533,0.343,21.738,3.228,0.300,6.278,1463.597,8.736,5.347,10.427
20220131_Pfrac,PhIr2021,22-Jul-21,West,Hydric,1,,Organic,22-Jul-21 West Hydric 1-O,3.660,0.127,0.464,1.622,5.383,3.761,0.027,0.466,48.231,8.074,-40.157,0.805,0.040,11.731,59.562,256.838,197.276,0.165,0.501,0.783,31.146,0.033,19.102,0.786,0.084,3.324,723.681,10.791,6.772,10.670
20220131_Pfrac,PhIr2021,22-Jul-21,West,Hydric,2,,Organic,22-Jul-21 West Hydric 2-O,3.640,0.177,0.644,0.830,3.884,3.054,0.019,0.137,11.295,5.826,-5.469,1.367,0.029,8.753,30.016,202.240,172.224,0.343,0.585,1.392,28.734,0.092,11.181,0.495,0.105,1.525,828.311,38.440,7.951,11.305
20220131_Pfrac,PhIr2021,22-Jul-21,West,Hydric,3,A,Organic,22-Jul-21 West Hydric 3A-O,4.570,0.150,0.685,1.466,3.652,2.186,0.018,0.236,19.822,12.532,-7.290,1.248,0.027,9.303,47.149,569.189,522.039,1.134,1.525,3.812,422.770,0.439,36.392,1.890,0.250,5.125,887.770,8.486,7.218,11.832
20220131_Pfrac,PhIr2021,22-Jul-21,West,Hydric,3,B,Organic,22-Jul-21 West Hydric 3B-O,5.850,0.154,0.902,0.783,2.772,1.989,0.014,0.164,12.474,4.157,-8.317,1.293,0.021,7.400,31.920,297.599,265.679,0.878,1.377,2.439,123.354,0.208,43.356,2.487,0.337,5.495,887.597,9.010,7.601,11.058
20220131_Pfrac,PhIr2021,22-Jul-21,West,Hydric,3,C,Organic,22-Jul-21 West Hydric 3C-O,4.910,0.156,0.768,0.717,3.255,2.538,0.016,0.141,9.644,4.883,-4.761,1.451,0.024,8.106,31.039,229.682,198.643,0.552,1.242,1.093,104.186,0.208,38.562,1.927,0.390,4.477,765.128,26.094,8.991,10.964
20220131_Pfrac,PhIr2021,2-Aug-21,East,Dry,2,A,Organic,2-Aug-21 East Dry 2A-O,3.570,0.313,1.117,1.031,2.237,1.206,0.029,0.077,11.825,22.544,10.718,8.934,0.159,6.455,82.618,367.783,285.165,2.492,2.577,2.108,590.300,2.020,26.257,4.794,1.317,1.621,1493.177,28.482,46.178,8.067
20220131_Pfrac,PhIr2021,2-Aug-21,East,Dry,3,,Organic,2-Aug-21 East Dry 3-O,3.190,0.290,0.926,0.974,2.699,1.725,0.013,0.029,21.554,59.988,38.434,2.951,0.082,2.085,54.057,375.171,321.115,0.628,0.977,0.299,42.383,0.107,6.767,1.430,0.241,0.566,1068.769,28.659,29.635,1.830
20220228_Pfrac,PhIr2021,2-Aug-21,East,Mesic,1,,Organic,2-Aug-21 East Mesic 1-O,3.240,0.183,0.593,1.834,4.216,2.382,0.021,-0.008,11.698,30.135,18.437,0.376,0.006,1.979,27.922,256.174,228.252,0.065,0.447,0.224,10.671,0.008,7.613,0.881,0.215,1.328,443.272,1.817,2.524,4.302
20220228_Pfrac,PhIr2021,2-Aug-21,East,Mesic,2,,Organic,2-Aug-21 East Mesic 2-O,3.310,0.194,0.642,14.782,15.375,0.593,0.019,0.098,42.761,117.148,74.388,3.922,0.115,4.784,86.693,572.177,485.485,0.704,1.485,0.555,106.305,0.168,11.483,1.726,0.342,1.414,1526.266,14.523,13.411,5.809
20220228_Pfrac,PhIr2021,2-Aug-21,East,Mesic,3,,Organic,2-Aug-21 East Mesic 3-O,3.030,0.297,0.900,28.317,29.792,1.475,0.029,0.084,40.236,101.295,61.059,3.848,0.134,2.912,79.421,358.899,279.478,0.558,0.841,0.401,192.163,0.435,21.306,1.859,0.410,0.907,1250.630,25.553,23.226,3.405
20220228_Pfrac,PhIr2021,2-Aug-21,East,Hydric,1,,Organic,2-Aug-21 East Hydric 1-O,3.290,0.214,0.704,1.803,3.551,1.748,0.018,0.024,10.985,71.816,60.831,6.709,0.273,1.202,102.406,666.195,563.790,2.010,5.001,0.656,730.858,2.234,7.434,4.521,0.862,0.452,1589.703,31.597,16.970,3.429
20220228_Pfrac,PhIr2021,2-Aug-21,East,Hydric,2,,Organic,2-Aug-21 East Hydric 2-O,3.230,0.329,1.063,1.200,2.353,1.153,0.012,0.037,10.850,37.382,26.531,10.354,0.147,3.410,72.808,283.614,210.806,1.778,2.499,0.741,498.272,1.944,17.509,3.490,0.775,0.811,1223.649,22.096,40.497,3.450
20220228_Pfrac,PhIr2021,2-Aug-21,East,Hydric,3,A,Organic,2-Aug-21 East Hydric 3A-O,3.290,0.368,1.211,0.574,2.065,1.491,0.010,0.017,13.742,51.246,37.503,12.569,0.272,2.426,68.780,229.924,161.144,2.340,2.625,0.778,488.955,3.606,5.459,3.406,0.613,0.434,1134.203,60.552,40.443,2.828
20220228_Pfrac,PhIr2021,2-Aug-21,East,Hydric,3,B,Organic,2-Aug-21 East Hydric 3B-O,3.430,0.422,1.447,0.453,1.727,1.274,0.009,0.018,14.255,46.792,32.537,16.446,0.255,2.415,47.021,138.189,91.168,2.250,1.484,0.421,484.268,4.369,5.484,4.861,0.680,0.419,982.122,68.017,44.116,3.516
20220228_Pfrac,PhIr2021,2-Aug-21,East,Hydric,3,C,Organic,2-Aug-21 East Hydric 3C-O,3.300,0.372,1.228,0.537,2.036,1.500,0.010,0.016,15.158,46.801,31.643,17.381,0.307,1.668,118.831,260.941,142.110,3.044,3.270,0.474,420.054,6.390,13.103,9.180,0.670,0.420,1315.794,72.907,45.892,4.718
20220228_Pfrac,PhIr2021,5-Aug-21,West,Dry,1,,Organic,5-Aug-21 West Dry 1-O,3.220,0.247,0.795,2.027,3.143,1.116,0.016,0.128,16.350,26.497,10.146,3.722,0.042,8.953,37.211,419.130,381.919,1.429,1.932,2.199,233.771,0.409,42.161,1.819,0.535,2.302,1288.299,15.153,23.757,12.492
